# VulnTrends — Vulnerabilities discovered (monthly)
# Generated: 2026-07-22T18:11:15.020Z
# Total records: 55879
# Records per source: mozilla=1104, chrome=1467, msrc=26737, apple=5790, projectzero=0, pan=25, fortinet=716, cisco=0, adobe=12, nvd=32985, osv=0
# Source: https://vulntrends.org
#date,manufacturer,count
2009-02,Adobe,9
2009-02,Apple,3
2009-02,Cisco,7
2009-02,Microsoft,12
2009-02,Oracle,1
2009-03,Adobe,5
2009-03,Apple,5
2009-03,Cisco,2
2009-03,Microsoft,2
2009-03,Mozilla,2
2009-03,Oracle,3
2009-04,Adobe,2
2009-04,Apple,15
2009-04,Cisco,1
2009-04,Microsoft,18
2009-04,Mozilla,13
2009-04,Oracle,43
2009-05,Adobe,3
2009-05,Apple,4
2009-05,Cisco,1
2009-05,Microsoft,15
2009-05,Oracle,2
2009-06,Adobe,16
2009-06,Apple,55
2009-06,Cisco,4
2009-06,Microsoft,25
2009-06,Mozilla,12
2009-06,Oracle,1
2009-07,Adobe,10
2009-07,Apple,5
2009-07,Cisco,2
2009-07,Microsoft,17
2009-07,Mozilla,12
2009-07,Oracle,28
2009-08,Adobe,8
2009-08,Apple,17
2009-08,Cisco,5
2009-08,Microsoft,12
2009-08,Oracle,1
2009-09,Adobe,4
2009-09,Apple,11
2009-09,Cisco,2
2009-09,Microsoft,7
2009-09,Oracle,7
2009-10,Adobe,25
2009-10,Cisco,1
2009-10,Microsoft,19
2009-10,Mozilla,17
2009-10,Oracle,36
2009-11,Adobe,4
2009-11,Apple,5
2009-11,Microsoft,13
2009-11,Oracle,4
2009-12,Adobe,11
2009-12,Apple,1
2009-12,Cisco,7
2009-12,Microsoft,10
2009-12,Mozilla,11
2010-01,Adobe,12
2010-01,Apple,1
2010-01,Cisco,5
2010-01,Microsoft,8
2010-01,Oracle,23
2010-02,Adobe,6
2010-02,Apple,6
2010-02,Cisco,6
2010-02,Microsoft,13
2010-02,Mozilla,5
2010-03,Apple,36
2010-03,Cisco,9
2010-03,Microsoft,25
2010-03,Mozilla,26
2010-03,Oracle,1
2010-04,Adobe,18
2010-04,Apple,1
2010-04,Cisco,1
2010-04,Microsoft,11
2010-04,Oracle,46
2010-05,Adobe,23
2010-05,Apple,5
2010-05,Cisco,8
2010-05,Microsoft,13
2010-05,Oracle,3
2010-06,Adobe,47
2010-06,Apple,55
2010-06,Cisco,3
2010-06,Microsoft,29
2010-06,Mozilla,14
2010-06,Oracle,4
2010-07,Apple,16
2010-07,Cisco,1
2010-07,Microsoft,3
2010-07,Mozilla,16
2010-07,Oracle,43
2010-08,Adobe,40
2010-08,Apple,11
2010-08,Cisco,8
2010-08,Microsoft,22
2010-09,Adobe,3
2010-09,Apple,7
2010-09,Cisco,2
2010-09,Microsoft,8
2010-10,Adobe,37
2010-10,Apple,2
2010-10,Cisco,3
2010-10,Microsoft,37
2010-10,Mozilla,13
2010-10,Oracle,64
2010-11,Adobe,20
2010-11,Apple,29
2010-11,Cisco,8
2010-11,Microsoft,13
2010-12,Apple,7
2010-12,Microsoft,26
2011-01,Cisco,1
2011-01,Microsoft,4
2011-01,Oracle,62
2011-02,Adobe,71
2011-02,Apple,2
2011-02,Cisco,32
2011-02,Microsoft,12
2011-02,Oracle,1
2011-03,Adobe,1
2011-03,Apple,84
2011-03,Cisco,1
2011-03,Microsoft,6
2011-03,Mozilla,4
2011-04,Adobe,1
2011-04,Apple,1
2011-04,Cisco,1
2011-04,Microsoft,18
2011-04,Mozilla,19
2011-04,Oracle,49
2011-05,Adobe,18
2011-05,Apple,3
2011-05,Cisco,15
2011-05,Microsoft,7
2011-05,Samsung,1
2011-06,Adobe,44
2011-06,Apple,7
2011-06,Cisco,5
2011-06,Microsoft,25
2011-06,Mozilla,17
2011-07,Apple,31
2011-07,Cisco,3
2011-07,Oracle,63
2011-08,Adobe,24
2011-08,Apple,25
2011-08,Cisco,8
2011-08,Microsoft,14
2011-08,Mozilla,17
2011-09,Adobe,19
2011-09,Apple,8
2011-09,Cisco,5
2011-09,Microsoft,14
2011-09,Mozilla,15
2011-10,Adobe,1
2011-10,Apple,44
2011-10,Cisco,21
2011-10,Microsoft,18
2011-10,Oracle,49
2011-11,Adobe,16
2011-11,Apple,2
2011-11,Cisco,4
2011-11,Microsoft,1
2011-12,Adobe,7
2011-12,Apple,5
2011-12,Microsoft,15
2011-12,Mozilla,7
2011-12,Oracle,4
2012-01,Adobe,5
2012-01,Apple,3
2012-01,Cisco,2
