# VulnTrends — Vulnerability backlog (monthly)
# Generated: 2026-07-22T18:11:15.020Z
# Total records: 55879
# Records per source: mozilla=1104, chrome=1467, msrc=26737, apple=5790, projectzero=0, pan=25, fortinet=716, cisco=0, adobe=12, nvd=32985, osv=0
# Source: https://vulntrends.org
#date,manufacturer,openCount
2009-01,Microsoft,1422
2009-01,Oracle,710
2009-01,Samsung,2
2009-02,Adobe,174
2009-02,Apple,376
2009-02,Cisco,241
2009-02,Microsoft,1434
2009-02,Oracle,711
2009-02,Samsung,2
2009-03,Adobe,179
2009-03,Apple,381
2009-03,Cisco,243
2009-03,Microsoft,1436
2009-03,Oracle,714
2009-03,Samsung,2
2009-04,Adobe,181
2009-04,Apple,396
2009-04,Cisco,244
2009-04,Microsoft,1454
2009-04,Oracle,757
2009-04,Samsung,2
2009-05,Adobe,184
2009-05,Apple,400
2009-05,Cisco,245
2009-05,Microsoft,1469
2009-05,Oracle,759
2009-05,Samsung,2
2009-06,Adobe,200
2009-06,Apple,455
2009-06,Cisco,249
2009-06,Microsoft,1494
2009-06,Oracle,760
2009-06,Samsung,2
2009-07,Adobe,210
2009-07,Apple,460
2009-07,Cisco,251
2009-07,Microsoft,1511
2009-07,Oracle,788
2009-07,Samsung,2
2009-08,Adobe,218
2009-08,Apple,477
2009-08,Cisco,256
2009-08,Microsoft,1523
2009-08,Oracle,789
2009-08,Samsung,2
2009-09,Adobe,222
2009-09,Apple,488
2009-09,Cisco,258
2009-09,Microsoft,1530
2009-09,Oracle,796
2009-09,Samsung,2
2009-10,Adobe,247
2009-10,Apple,488
2009-10,Cisco,259
2009-10,Microsoft,1549
2009-10,Oracle,832
2009-10,Samsung,2
2009-11,Adobe,251
2009-11,Apple,493
2009-11,Cisco,259
2009-11,Microsoft,1562
2009-11,Oracle,836
2009-11,Samsung,2
2009-12,Adobe,262
2009-12,Apple,494
2009-12,Cisco,266
2009-12,Microsoft,1572
2009-12,Oracle,836
2009-12,Samsung,2
2010-01,Adobe,274
2010-01,Apple,495
2010-01,Cisco,271
2010-01,Microsoft,1580
2010-01,Oracle,859
2010-01,Samsung,2
2010-02,Adobe,280
2010-02,Apple,501
2010-02,Cisco,277
2010-02,Microsoft,1593
2010-02,Oracle,859
2010-02,Samsung,2
2010-03,Adobe,280
2010-03,Apple,537
2010-03,Cisco,286
2010-03,Microsoft,1618
2010-03,Oracle,860
2010-03,Samsung,2
2010-04,Adobe,298
2010-04,Apple,538
2010-04,Cisco,287
2010-04,Microsoft,1629
2010-04,Oracle,906
2010-04,Samsung,2
2010-05,Adobe,321
2010-05,Apple,543
2010-05,Cisco,295
2010-05,Microsoft,1642
2010-05,Oracle,909
2010-05,Samsung,2
2010-06,Adobe,368
2010-06,Apple,598
2010-06,Cisco,298
2010-06,Microsoft,1671
2010-06,Mozilla,1
2010-06,Oracle,913
2010-06,Samsung,2
2010-07,Adobe,368
2010-07,Apple,614
2010-07,Cisco,299
2010-07,Microsoft,1674
2010-07,Oracle,956
2010-07,Samsung,2
2010-08,Adobe,408
2010-08,Apple,625
2010-08,Cisco,307
2010-08,Microsoft,1696
2010-08,Oracle,956
2010-08,Samsung,2
2010-09,Adobe,411
